constituency,party_before,name,party_member,notes,screen_name,user_id
Bracknell,Liberal Democrats[h],James Sunderland,Conservative,"Previous incumbent, Phillip Lee, did not stand",jamessunderl,
Hayes and Harlington,Labour,John McDonnell,Labour,Seat held,johnmcdonnellMP,77234984
Hazel Grove,Conservative,William Wragg,Conservative,Seat held,William_Wragg,1606157958
North West Norfolk,Conservative,James Wild,Conservative,"Previous incumbent, Henry Bellingham, did not stand",jamesowild,
Hemsworth,Labour,Jon Trickett,Labour,Seat held,jon_trickett,191807697
Hendon,Conservative,Matthew Offord,Conservative,Seat held,Offord4Hendon,236395049
Henley,Conservative,John Howell,Conservative,Seat held,JHowellUK,993161678
Hereford and South Herefordshire,Conservative,Jesse Norman,Conservative,Seat held,Jesse_Norman,78702900
Bridgend,Labour,Jamie Wallis,Conservative,"Defeated incumbent, Madeleine Moon",JamieWallisMP,
Loughborough,Conservative,Jane Hunt,Conservative,"Previous incumbent, Nicky Morgan, did not stand",JaneMHunt,
Hexham,Conservative,Guy Opperman,Conservative,Seat held,GuyOpperman,143386976
Wolverhampton North East,Labour,Jane Stevenson,Conservative,"Defeated incumbent, Emma Reynolds",Jane_Stevenson_,
Lewisham East,Labour,Janet Daby,Labour,Seat held,JanetDaby,
Hitchin and Harpenden,Conservative,Bim Afolami,Conservative,Seat held,BimAfolami,311956971
Holborn and St Pancras,Labour,Keir Starmer,Labour,Seat held,Keir_Starmer,2425571623
Hornchurch and Upminster,Conservative,Julia Lopez,Conservative,Seat held,JuliaLopezMP,8.5934E+17
Hornsey and Wood Green,Labour,Catherine West,Labour,Seat held,CatherineWest1,351812038
Colne Valley,Labour,Jason McCartney,Conservative,"Defeated incumbent, Thelma Walker",JasonMcCartney,
Houghton and Sunderland South,Labour,Bridget Phillipson,Labour,Seat held,bphillipsonMP,19295262
Hove,Labour,Peter Kyle,Labour,Seat held,peterkyle,21769986
