,house,title,first_name,last_name,constituency,prov_territory,political_affiliation,start_date,name,screen_name
215,commons,,Jamie,Schmale,Haliburton?”Kawartha Lakes?”Brock,Ontario,Conservative,9/20/21 0:00,Jamie Schmale,Jamie_Schmale
216,commons,,James,Bezan,Selkirk?”Interlake?”Eastman,Manitoba,Conservative,9/20/21 0:00,James Bezan,jamesbezan
217,commons,,Jake,Stewart,Miramichi?”Grand Lake,New Brunswick,Conservative,9/20/21 0:00,Jake Stewart,JakestewartNB
218,commons,,Jaime,Battiste,Sydney?”Victoria,Nova Scotia,Liberal,9/20/21 0:00,Jaime Battiste,JaimeBattiste
219,commons,,James,Maloney,Etobicoke?”Lakeshore,Ontario,Liberal,9/20/21 0:00,James Maloney,j_maloney
220,commons,,Irek,Kusmierczyk,Windsor?”Tecumseh,Ontario,Liberal,9/20/21 0:00,Irek Kusmierczyk,Irek_K
221,commons,,Iqwinder,Gaheer,Mississauga?”Malton,Ontario,Liberal,9/20/21 0:00,Iqwinder Gaheer,IqwinderSGaheer
222,commons,,Iqra,Khalid,Mississauga?”Erin Mills,Ontario,Liberal,9/20/21 0:00,Iqra Khalid,IqraKhalidMP
223,commons,,Angelo,Iacono,Alfred-Pellan,Quebec,Liberal,9/20/21 0:00,Angelo Iacono,IaconoMP
224,commons,Hon.,Ed,Fast,Abbotsford,British Columbia,Conservative,9/20/21 0:00,Ed Fast,HonEdFast
225,commons,Hon.,Ahmed,Hussen,York South?”Weston,Ontario,Liberal,9/20/21 0:00,Ahmed Hussen,HonAhmedHussen
226,commons,,Heather,McPherson,Edmonton Strathcona,Alberta,NDP,9/20/21 0:00,Heather McPherson,HMcPhersonMP
227,commons,Hon.,Helena,Jaczek,Markham?”Stouffville,Ontario,Liberal,9/20/21 0:00,Helena Jaczek,HelenaJaczek
228,commons,Hon.,Hedy,Fry,Vancouver Centre,British Columbia,Liberal,9/20/21 0:00,Hedy Fry,HedyFry
229,commons,Hon.,Harjit S.,Sajjan,Vancouver South,British Columbia,Liberal,9/20/21 0:00,Harjit S. Sajjan,HarjitSajjan
230,commons,,Han,Dong,Don Valley North,Ontario,Liberal,9/20/21 0:00,Han Dong,handongontario
231,commons,Hon.,Gudie,Hutchings,Long Range Mountains,Newfoundland and Labrador,Liberal,9/20/21 0:00,Gudie Hutchings,Gudie
232,commons,,Greg,McLean,Calgary Centre,Alberta,Conservative,9/20/21 0:00,Greg McLean,GregMcLeanYYC
233,commons,Hon.,Greg,Fergus,Hull?”Aylmer,Quebec,Liberal,9/20/21 0:00,Greg Fergus,GregFergus
234,commons,,Gord,Johns,Courtenay?”Alberni,British Columbia,NDP,9/20/21 0:00,Gord Johns,GordJohns
235,commons,,Glen,Motz,Medicine Hat?”Cardston?”Warner,Alberta,Conservative,9/20/21 0:00,Glen Motz,GlenMotz
236,commons,Hon.,Ginette,Petitpas Taylor,Moncton?”Riverview?”Dieppe,New Brunswick,Liberal,9/20/21 0:00,Ginette Petitpas Taylor,GinettePT
237,commons,,MarilÃ¨ne,Gill,Manicouagan,Quebec,Bloc QuÃ©bÃ©cois,9/20/21 0:00,MarilÃ¨ne Gill,GillMarilene
238,commons,,GÃ©rard,Deltell,Louis-Saint-Laurent,Quebec,Conservative,9/20/21 0:00,GÃ©rard Deltell,gerarddeltell
239,commons,,Gerald,Soroka,Yellowhead,Alberta,Conservative,9/20/21 0:00,Gerald Soroka,GeraldSorokaMP
240,commons,,Bernard,GÃ©nÃ©reux,Montmagny?”L'Islet?”Kamouraska?”RiviÃ¨re-du-Loup,Quebec,Conservative,9/20/21 0:00,Bernard GÃ©nÃ©reux,GenereuxBernard
241,commons,,Gary,Vidal,DesnethÃ©?”Missinippi?”Churchill River,Saskatchewan,Conservative,9/20/21 0:00,Gary Vidal,GaryAVidal
242,commons,,Gary,Anandasangaree,Scarborough?”Rouge Park,Ontario,Liberal,9/20/21 0:00,Gary Anandasangaree,gary_srp
243,commons,,Garnett,Genuis,Sherwood Park?”Fort Saskatchewan,Alberta,Conservative,9/20/21 0:00,Garnett Genuis,GarnettGenuis
244,commons,,Gabriel,Ste-Marie,Joliette,Quebec,Bloc QuÃ©bÃ©cois,9/20/21 0:00,Gabriel Ste-Marie,Gabriel_SMarie
245,commons,,Francesco,Sorbara,Vaughan?”Woodbridge,Ontario,Liberal,9/20/21 0:00,Francesco Sorbara,fsorbara
246,commons,,Fraser,Tolmie,Moose Jaw?”Lake Centre?”Lanigan,Saskatchewan,Conservative,9/20/21 0:00,Fraser Tolmie,FraserTolmie
247,commons,,Frank,Caputo,Kamloops?”Thompson?”Cariboo,British Columbia,Conservative,9/20/21 0:00,Frank Caputo,FrankCaputoKTC
248,commons,,Francis,Drouin,Glengarry?”Prescott?”Russell,Ontario,Liberal,9/20/21 0:00,Francis Drouin,Francis_Drouin
249,commons,Hon.,FranÃ§ois-Philippe,Champagne,Saint-Maurice?”Champlain,Quebec,Liberal,9/20/21 0:00,FranÃ§ois-Philippe Champagne,FP_Champagne
250,commons,Hon.,Filomena,Tassi,Hamilton West?”Ancaster?”Dundas,Ontario,Liberal,9/20/21 0:00,Filomena Tassi,FilomenaTassi
251,commons,,FayÃ§al,El-Khoury,Laval?”Les ÃŽles,Quebec,Liberal,9/20/21 0:00,FayÃ§al El-Khoury,F_ElKhoury
